open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2025-11-04 00:04:00,106446.51,106530.89,106446.5,106515.07,15.2371,1622689.5023397,3643,6.0094,639981.4160761,0
2025-11-04 00:05:00,106515.06,106569.99,106417.34,106459.79,24.90689,2652937.4670291,7450,4.27977,455746.4449216,0
2025-11-04 00:06:00,106459.78,106504.72,106459.78,106499.13,9.56602,1018718.9260491,3215,2.62429,279447.9324224,0
2025-11-04 00:07:00,106499.13,106567.46,106489.79,106555.71,17.49936,1864265.7309835,3536,8.17958,871426.013268,0
2025-11-04 00:08:00,106555.71,106555.71,106480.09,106480.09,9.31747,992589.0078597,4620,2.8293,301405.5501541,0
2025-11-04 00:09:00,106480.09,106480.1,106431.69,106455.7,6.81461,725411.0719425,3726,4.55142,484481.6394686,0
2025-11-04 00:10:00,106455.7,106473.32,106330.5,106366.03,26.50602,2819840.9456358,6460,4.16521,443099.8657813,0
2025-11-04 00:11:00,106366.02,106431.94,106366.02,106421.86,8.11448,863386.2753488,3736,3.56945,379786.8144889,0
2025-11-04 00:12:00,106421.86,106421.86,106319.75,106382.77,13.14855,1398694.3084473,6007,5.70378,606643.7552012,0
2025-11-04 00:13:00,106382.77,106388.16,106343.52,106377.78,7.13062,758457.3242607,3237,3.37807,359300.3419117,0
2025-11-04 00:14:00,106377.78,106377.78,106288.48,106320.56,8.12521,864060.3711492,4579,2.10021,223291.1205897,0
2025-11-04 00:15:00,106320.56,106351.42,106294.66,106306.13,27.12186,2883359.1451049,4512,6.47609,688472.1337486,0
2025-11-04 00:16:00,106306.14,106313.11,106190.83,106190.85,93.93515,9978641.8838913,5903,10.65574,1131941.8199308,0
2025-11-04 00:17:00,106190.84,106270.34,106116.12,106269.81,39.18466,4160265.1666935,6101,16.0516,1704185.1680258,0
2025-11-04 00:18:00,106269.8,106360.15,106268.01,106309.73,19.22978,2044342.9821743,5924,8.18989,870732.3144117,0
2025-11-04 00:19:00,106309.73,106309.73,106253.55,106272.36,6.72418,714640.1720097,4761,1.84021,195570.2705154,0
2025-11-04 00:20:00,106272.36,106312.75,106259.25,106259.26,6.13971,652536.7344511,4637,2.28682,243040.4879583,0
2025-11-04 00:21:00,106259.26,106259.26,106170.94,106183.23,8.14766,865422.9162384,3119,1.35595,143993.086728,0
2025-11-04 00:22:00,106183.22,106183.22,106096.0,106096.01,9.96874,1058088.2764004,5907,2.35486,249934.1555878,0
2025-11-04 00:23:00,106096.01,106150.61,106039.84,106061.76,20.5896,2184300.3986606,7410,7.521,797932.574656,0
2025-11-04 00:24:00,106061.76,106099.47,106000.0,106010.01,26.59781,2820817.0875566,7998,6.31973,670259.9951917,0
2025-11-04 00:25:00,106010.01,106053.13,106000.01,106047.88,8.0502,853545.276268,3088,4.8353,512643.5426076,0
2025-11-04 00:26:00,106047.88,106068.94,106007.2,106007.2,11.61364,1231582.9442742,4145,3.67988,390234.9905017,0
2025-11-04 00:27:00,106007.2,106007.2,105879.0,105879.0,16.23253,1719668.8074582,8612,4.1902,443885.091722,0
2025-11-04 00:28:00,105879.01,105953.49,105879.0,105948.99,20.83915,2207408.7488467,4509,12.96753,1373595.152071,0
2025-11-04 00:29:00,105948.99,105948.99,105852.37,105852.38,12.45779,1319404.2237551,6535,3.28772,348178.5010148,0
2025-11-04 00:30:00,105852.37,105999.0,105852.37,105980.0,90.25762,9562736.4390414,8556,77.13358,8172101.0744756,0
2025-11-04 00:31:00,105979.99,106071.3,105942.21,105942.21,18.07005,1915794.4409136,8104,7.23712,767328.8239434,0
2025-11-04 00:32:00,105942.22,105984.49,105873.93,105939.35,14.0743,1490865.1302504,6644,5.11841,542110.9509875,0
2025-11-04 00:33:00,105939.34,106275.51,105939.34,106225.55,57.73544,6126779.8765665,13539,36.59861,3882697.6548152,0
2025-11-04 00:34:00,106225.55,106316.95,106206.0,106269.08,12.9791,1379407.3514655,6317,4.31535,458602.5877361,0
2025-11-04 00:35:00,106269.08,106295.94,106250.0,106295.94,6.85997,729011.8694997,4244,2.86098,304033.3378771,0
2025-11-04 00:36:00,106295.94,106643.08,106295.94,106587.96,51.05206,5436620.7485054,12138,35.61446,3792804.4007641,0
2025-11-04 00:37:00,106587.95,106608.88,106515.31,106550.0,25.75352,2744132.5744811,7205,13.90328,1481296.8944976,0
